screen_name,followers_count,statuses_count,location,geo_enabled
liggyk,51,98,"London, England",True
PNassazi,0,5,,False
AsiaMustafa3,36,51,,False
dessyBIG,44,17,"Mombasa, Kenya",True
getrudemungai,5244,381,Nairobi,True
akidaokulu,18,0,,False
AsemboVitalis,18,0,,False
musasadat4,24,297,Uganda East Africa working at students as a vice president basoga insadhu memorial technical institute namutumba district,False
welishehj,30,97,,False
alfredkimani7,1,9,,False
DesBarongo,4132,11069,0726660166 Nairobi Kenya,True
navdhadpatel,336,685,Nairobi ,False
brena_brizy,269,264,"Nairobi, Kenya",False
mcwilliams_10,11,18,,False
stmilano,294,1333,Pretoria,True
PicnicEntity,42,167,"Nairobi, Kenya",False
Gtweets_254,312,1238,"Nairobi, Kenya",False
Safe_Abortion,2489,6505,,False
araalijonathanz,0,2,,False
ArnoldGaliwango,5,4,,False
djkezi,60,30,,False
deviehm4,0,6,,False
dwip101,582,1703,,False
denoh961,5,4,,False
EddiCurrents,52,45,"Lagos,nigeria.",False
HIV_COP,116,159,,True
AmuuPita,261,57,kitale,True
AGEFFRARD,387,72,Haiti,False
NAresmas,3,9,,False
fred_arinaitwe,17,11,,False
g_gichanga,441,4308,Nairobi,True
SimonKeton,48,174,,False
MirumbeJ,13,45,isebania,True
silva_mutsi,4,113,,False
davewayose,19,6,,False
a29906066,409,33146,,False
19c1c4c6dd6743f,328,1442,uk/holland,False
adua_rk,9,9,"Kampala, Uganda",False
oneworlduk,2486,1992,London,False
anguawi,2,6,,False
tilisho_david,92,8,,False
adenQays89,162,357,"Garissa, Kenya",True
AmheMtl,18,1,,False
99e6ae2ee5b546e,17,0,,False
tawfik1810,29,1,Egypt,True
HUMPHREYILONDA2,1,7,,False
jacobmeli3,3,3,,False
UNFPAasia,7406,14476,23 A-P countries/sub-regions,True
PelgreenUg,120,1261,London,False
OPL2008,45,430,Dokolo-Uganda_Okwongodul s.cty,True
NkwetoElina,0,1,,False
omacklan,24,16,,False
FathMaher,4,0,"Turkey Creek, IN",False
puritymachari12,5,0,,False
OttyOctave,2,30,Migori,False
asiimweflavia16,43,53,Uganda,True
9_u2h,2,0,,False
fellystaB,9,7,,False
swedan555,405,7,qatar,False
edwardthumbi1,33,233,kitisuru west,True
deisy_kosgei,21,0,Eldoret,False
GutoGideon,3,1,,False
HanaanLuv,8,4,"Dubai, United Arab Emirates",True
khanHamza78,7,3,,False
Hezekiahmokaya5,0,0,,False
MdM_France,79224,8239,Paris,True
CBirai,134,825,Narok,True
ASexGuide,64,157,,False
JeremiahMusyok4,14,5,,False
jacobtaiwo17,29,23,Abuja,False
MarieStopesKe,3769,2981,Kenya,False
ItsatziroEunice,17,0,,False
jullykui,23,0,,False
brianmwewa10,3,3,Lusaka,False
Justice_PeaceNL,1103,1290,"The Hague, NL",False
KeindeToriseju,1421,3335,"United Kingdom,",False
theokamatewara,1134,347,Bamako mali,True
DanceIntoSpace,166,407,"Nairobi, Kenya",False
LionPreacher,32,6,"Kampala, Uganda",False
lenamwangi,356,7351,,True
HayaatHayi,4,2,"Makkah Al Mukarrama, Kingdom o",False
dupuis_emeline,813,2486,"Geneva, Switzerland",True
shipskoki,18,2,"Cairo, Egypt",False
Curate__Sex,7142,13078,Kenya,False
thandiubani,1201,6011,Lagos,True
AmosBett,28,0,"Nairobi, Kenya",False
FrankiCookney,1234,4171,London,True
cnyaori,8,1,,False
OloriJulie,5,0,,False
NJotwoma,2401,6611,"Nairobi, Kenya",True
robahtosh,0,2,,False
muthonithiongo,571,535,,True
atonyabrian4,19,30,kakamega,False
Dorcy_Del,82,878,,False
Thats_EnoughDV,68,69,London,False
NgalaSanscroft,58,99,,False
MwanziaDennis,1214,1325,"Nairobi, Kenya",True
dimmoz,1324,14733,Nairobi Kenya,True
KiptooDon14,313,206,KENYA,True
LatinyoF,376,560,kenya,False
VanNgojo,21,0,,False
otenyodennis,163,126,Kenya,False
Mr_Shabbs,1558,4552,KENYA,False
vinnielangat5,21,1,,False
JudyNguta,460,1928,"Nairobi, Kenya",False
kiruicollie,748,263,kericho,False
sheezyshazy,260,1310,Kiambu County,False
ezekielmburu46,72,542,MOMBASA KENYA,True
Sir_DonSelf,989,6603,,False
CherylOvers,1365,6848,,False
OSODOL,11,94,Nairobi_Embakassi,True
GicineMwangi,58,116,,True
Mirrorsofmylife,63,155,,False
ezekhell,37,111,,False
natiherbst,245,5651,"London, England",True
glander_ratan,7,17,"Klerksdorp, South Africa",False
MyChappell,62,853,Santa Cruz  ,True
tqu_berlin,394,559,Berlin,False
Emmanue14432706,11,1,,False
gadems_maya,674,259,"Nairobi, Kenya",True
zi_ndziswa,230,1525,,True
gala_akshat,66,14,,False
JOHNWANYITIKHA4,28,0,,False
denisheart49,125,280,"Lagos, Nigeria",True
MrGoodman16,3,0,,False
LucyLucynjeri,19,1,"Nairobi, Kenya",False
SanyalRambabu,3,0,"Gurgaon, India",False
erickobonds,9,6,meru,False
KeshavAntish,33,2,,False
danielndungu13,8,2,,True
jwamoro,224,113,kenya,True
bekriabdella,2,3,,False
Fredinahmmawii,24,0,,False
Emmy11theo,23,0,,False
TMueni,1007,5422,"Mombasa,Kenya",False
ngochkaranja,1,0,,False
Ke_swa,1292,1100,Kenya,True
maro45894207,0,0,,False
