screen_name,followers_count,statuses_count,location,geo_enabled
sufisticado,259,0,"Cairo, Egypt",False
abrArlaAaw,10,1,,False
HalilCakir45,24,29,,False
AmeenAl63417689,16,1,"Hildesheim, Deutschland",False
aenotalp,156,2072,Germany,False
lhajberafan,26,2,,False
abdelaty_ahmed,190,5748,Egypt,True
ahmdqtr2,71,45,,True
oelshafiey,163,3479,"Cairo, Egypt",False
HmmaliHmm,30,16,,False
londonboa,17,302,Kuwait,False
mogahedabdalla7,18,0,,False
Ahmed_ELSawy_17,29,0,,False
EgyptianMAN18,49,242,"Cairo, Egypt",False
samisaalh2233,1166,3013,,False
TRayyash,1496,3081,Bahrain,False
Egy3ly,302,531,"Cairo, Egypt",False
End1of2story,9,2,,False
amhsoooon495,35,48,,False
Aalsharabee,56,41,,False
ThorneAle,445,11,,False
sosselriany,0,15,,False
Nader7amza,94,6370,Saudi Arabia,True
m2m_moon,78,503,"Jeddah, Kingdom of Saudi Arabia",True
w1s_x,37,166,,False
AhmooSabre,931,10,,False
elqwedi,1,1,,False
read_tochillout,71,360,,False
Audaimansour,92,177,Planet earth,False
febiolaindriati,383,3813,"Jakarta,Indonesia",False
baher_adham,11,9,,False
hira_annur,162,5532,,False
abo_abd_alazaz,30,0,,False
IsraaSaid_,161,2576,israasaid969.sarahah.com,False
MohimedAbd,629,197,,False
o_k_s_a_o,323,2210,,False
anwarbosak,11,0,,False
zooroman55,235,122,,False
Muhamad_Seliem,597,979,,True
NMS4SR4DE7lDjBq,41,88,,False
Farfota,34,20,,False
skoko2966,126,69,,False
Uitm7K5qlgvIBwu,0,0,,False
ymkoheel,75,163,"Jeddah, Kingdom of Saudi Arabia",False
hassoniq96,0,2,,False
Shinichi2Kudo,687,7903,,False
Saly6959,11,2,,False
05N12fZpFszakZ0,0,0,,False
melbohoty,12,0,,True
tamem_z,1712,25817,,True
alotaib68564274,0,14,,False
KhhHh41998507,32,0,,False
birdybird__,3,576,,False
Thanafaroq,2020,2053,Yemen/London,True
Mohamed8102013,63,527,,False
379Er,146,129,syria,True
taisear_hendawe,78,54,Libya,False
bbounenni,2937,9020,,True
0666Fr,13,0,,False
Ahmad700xA,186,1898,,False
omAohF01VaZAdNz,124,541,Yemen,False
AdamJepril,4,1,Libya,False
qusaiazroni,1358,1492,Syria,True
kynoubani,613,11886,,True
baderalolyann,64,748,,True
ms_humanity,369,467,,False
youssefali111,2478,6119,,True
89rZy5GmDE8bb1N,275,31,,False
fayzalmleHan,1660,20117,saudi arabia,True
